x0,x1,x2,t
-2.41271,-4.31821,20.8686,0.462
-2.43176,-4.3311,20.8233,0.463
-2.45076,-4.34422,20.7782,0.464
-2.46969,-4.35757,20.7334,0.465
-2.48857,-4.37116,20.6888,0.466
-2.5074,-4.38498,20.6445,0.467
-2.52617,-4.39904,20.6003,0.468
-2.5449,-4.41334,20.5564,0.469
-2.56359,-4.42786,20.5128,0.47
-2.58223,-4.44263,20.4694,0.471
-2.60083,-4.45763,20.4262,0.472
-2.6194,-4.47287,20.3832,0.473
-2.63793,-4.48835,20.3405,0.474
-2.65644,-4.50407,20.2981,0.475
-2.67492,-4.52003,20.2558,0.476
-2.69337,-4.53622,20.2138,0.477
-2.71179,-4.55266,20.1721,0.478
-2.7302,-4.56933,20.1306,0.479
-2.74859,-4.58625,20.0893,0.48
-2.76697,-4.6034,20.0483,0.481
-2.78534,-4.6208,20.0075,0.482
-2.80369,-4.63844,19.9669,0.483
-2.82204,-4.65633,19.9266,0.484
-2.84038,-4.67445,19.8866,0.485
-2.85872,-4.69282,19.8467,0.486
-2.87706,-4.71144,19.8072,0.487
-2.89541,-4.7303,19.7678,0.488
-2.91376,-4.74941,19.7287,0.489
-2.93211,-4.76876,19.6899,0.49
-2.95048,-4.78835,19.6513,0.491
-2.96886,-4.8082,19.613,0.492
-2.98725,-4.82829,19.5749,0.493
-3.00566,-4.84863,19.537,0.494
-3.02409,-4.86922,19.4995,0.495
-3.04254,-4.89005,19.4621,0.496
-3.06102,-4.91114,19.425,0.497
-3.07952,-4.93248,19.3882,0.498
-3.09805,-4.95407,19.3516,0.499
-3.11661,-4.9759,19.3153,0.5
-3.1352,-4.998,19.2792,0.501
-3.15383,-5.02034,19.2434,0.502
-3.17249,-5.04294,19.2079,0.503
-3.1912,-5.06579,19.1726,0.504
-3.20994,-5.08889,19.1376,0.505
-3.22873,-5.11225,19.1028,0.506
-3.24757,-5.13586,19.0683,0.507
-3.26645,-5.15973,19.0341,0.508
-3.28538,-5.18386,19.0001,0.509
-3.30437,-5.20824,18.9664,0.51
-3.32341,-5.23289,18.933,0.511
-3.3425,-5.25779,18.8998,0.512
-3.36166,-5.28295,18.8669,0.513
-3.38087,-5.30837,18.8343,0.514
-3.40014,-5.33405,18.802,0.515
-3.41948,-5.35999,18.7699,0.516
-3.43889,-5.38619,18.7381,0.517
-3.45836,-5.41265,18.7066,0.518
-3.4779,-5.43938,18.6754,0.519
-3.49752,-5.46637,18.6444,0.52
-3.51721,-5.49363,18.6138,0.521
-3.53697,-5.52115,18.5834,0.522
-3.55681,-5.54893,18.5533,0.523
-3.57673,-5.57698,18.5235,0.524
-3.59674,-5.6053,18.494,0.525
-3.61682,-5.63388,18.4648,0.526
-3.63699,-5.66274,18.4359,0.527
-3.65725,-5.69186,18.4072,0.528
-3.6776,-5.72125,18.3789,0.529
-3.69803,-5.75091,18.3509,0.53
-3.71856,-5.78084,18.3231,0.531
-3.73918,-5.81105,18.2957,0.532
-3.7599,-5.84152,18.2686,0.533
-3.78072,-5.87227,18.2418,0.534
-3.80163,-5.90329,18.2153,0.535
-3.82265,-5.93459,18.1891,0.536
-3.84377,-5.96615,18.1632,0.537
-3.86499,-5.998,18.1376,0.538
-3.88632,-6.03012,18.1124,0.539
-3.90776,-6.06252,18.0875,0.54
-3.92931,-6.09519,18.0629,0.541
-3.95097,-6.12814,18.0386,0.542
-3.97274,-6.16137,18.0146,0.543
-3.99463,-6.19488,17.991,0.544
-4.01663,-6.22866,17.9677,0.545
-4.03875,-6.26273,17.9448,0.546
-4.06099,-6.29708,17.9222,0.547
-4.08335,-6.33171,17.8999,0.548
-4.10583,-6.36662,17.8779,0.549
-4.12844,-6.40181,17.8563,0.55
-4.15118,-6.43729,17.8351,0.551
-4.17404,-6.47305,17.8142,0.552
-4.19703,-6.50909,17.7937,0.553
-4.22015,-6.54542,17.7735,0.554
-4.2434,-6.58203,17.7536,0.555
-4.26679,-6.61893,17.7342,0.556
-4.29031,-6.65611,17.715,0.557
-4.31397,-6.69358,17.6963,0.558
-4.33776,-6.73133,17.6779,0.559
-4.3617,-6.76938,17.6599,0.56
-4.38577,-6.80771,17.6423,0.561
-4.40999,-6.84633,17.6251,0.562
-4.43436,-6.88523,17.6082,0.563
-4.45887,-6.92443,17.5917,0.564
-4.48352,-6.96391,17.5756,0.565
-4.50833,-7.00369,17.5599,0.566
-4.53328,-7.04375,17.5446,0.567
-4.55838,-7.08411,17.5297,0.568
-4.58364,-7.12475,17.5152,0.569
-4.60905,-7.16568,17.5011,0.57
-4.63462,-7.20691,17.4874,0.571
-4.66034,-7.24842,17.4741,0.572
-4.68622,-7.29023,17.4612,0.573
-4.71226,-7.33233,17.4487,0.574
-4.73846,-7.37471,17.4367,0.575
-4.76483,-7.41739,17.4251,0.576
-4.79135,-7.46036,17.4139,0.577
-4.81804,-7.50362,17.4032,0.578
-4.8449,-7.54718,17.3929,0.579
-4.87192,-7.59102,17.383,0.58
-4.89911,-7.63515,17.3735,0.581
-4.92647,-7.67958,17.3646,0.582
-4.954,-7.7243,17.356,0.583
-4.98171,-7.7693,17.348,0.584
-5.00958,-7.8146,17.3403,0.585
-5.03763,-7.86018,17.3332,0.586
-5.06586,-7.90606,17.3265,0.587
-5.09426,-7.95222,17.3203,0.588
-5.12284,-7.99868,17.3146,0.589
-5.1516,-8.04542,17.3093,0.59
-5.18054,-8.09245,17.3045,0.591
-5.20965,-8.13976,17.3003,0.592
-5.23896,-8.18736,17.2965,0.593
-5.26844,-8.23525,17.2932,0.594
-5.29811,-8.28342,17.2904,0.595
-5.32796,-8.33188,17.2881,0.596
-5.358,-8.38062,17.2864,0.597
-5.38823,-8.42964,17.2851,0.598
-5.41864,-8.47895,17.2844,0.599
-5.44924,-8.52853,17.2842,0.6
-5.48004,-8.5784,17.2845,0.601
-5.51102,-8.62854,17.2854,0.602
-5.54219,-8.67896,17.2868,0.603
-5.57356,-8.72966,17.2887,0.604
-5.60512,-8.78063,17.2912,0.605
-5.63688,-8.83187,17.2942,0.606
-5.66883,-8.88339,17.2979,0.607
-5.70097,-8.93517,17.302,0.608
-5.73332,-8.98723,17.3068,0.609
-5.76586,-9.03955,17.3121,0.61
-5.79859,-9.09213,17.318,0.611
